1514876400: SHORT 0.00 1.01 LONG:0.50 SHORT:0.50
1514878200: SHORT 0.00 1.01 LONG:0.61 SHORT:0.39
1514880000: SHORT 0.00 1.01 LONG:0.43 SHORT:0.57
1514881800: SHORT 0.00 1.02 LONG:0.29 SHORT:0.71
1514883600: SHORT 0.00 1.02 LONG:0.16 SHORT:0.84
1514885400: SHORT 0.00 1.02 LONG:0.01 SHORT:0.99
1514887200: SHORT 0.00 1.02 LONG:0.00 SHORT:1.00
1514889000: SHORT 0.00 1.03 LONG:0.00 SHORT:1.00
1514890800: SHORT 0.00 1.04 LONG:0.00 SHORT:1.00
1514892600: SHORT 0.00 1.03 LONG:0.00 SHORT:1.00
1514894400: SHORT 0.00 1.03 LONG:0.00 SHORT:1.00
1514896200: SHORT 0.00 1.03 LONG:0.00 SHORT:1.00
1514898000: SHORT 0.00 1.03 LONG:0.00 SHORT:1.00
1514899800: SHORT 0.00 1.05 LONG:0.00 SHORT:1.00
1514901600: SHORT 0.00 1.06 LONG:0.00 SHORT:1.00
1514903400: SHORT 0.00 1.05 LONG:0.00 SHORT:1.00
1514905200: SHORT 0.00 1.05 LONG:0.00 SHORT:1.00
1514907000: SHORT 0.00 1.04 LONG:0.00 SHORT:1.00
1514908800: SHORT 0.00 1.04 LONG:0.00 SHORT:1.00
1514910600: SHORT 0.00 1.05 LONG:0.00 SHORT:1.00
1514912400: SHORT 0.00 1.04 LONG:0.00 SHORT:1.00
1514914200: SHORT 0.00 1.05 LONG:0.00 SHORT:1.00
1514916000: SHORT 0.00 1.05 LONG:0.00 SHORT:1.00
1514917800: SHORT 0.00 1.09 LONG:0.00 SHORT:1.00
1514919600: SHORT 0.00 1.11 LONG:0.00 SHORT:1.00
1514921400: SHORT 0.00 1.15 LONG:0.00 SHORT:1.00
1514923200: SHORT 0.00 1.13 LONG:0.00 SHORT:1.00
1514925000: SHORT 0.00 1.15 LONG:0.00 SHORT:1.00
1514926800: SHORT 0.00 1.13 LONG:0.00 SHORT:1.00
1514928600: SHORT 0.00 1.12 LONG:0.00 SHORT:1.00
1514930400: SHORT 0.00 1.12 LONG:0.00 SHORT:1.00
